time	latitude	longitude	lsm
1079616	34.0	26.0	0.0
1079616	34.0	26.25	0.0
1079616	34.0	26.5	0.0
1079616	34.0	26.75	0.0
1079616	34.0	27.0	0.0
1079616	34.0	27.25	0.0
1079616	34.0	27.5	0.0
1079616	34.0	27.75	0.0
1079616	34.0	28.0	0.0
1079616	34.0	28.25	0.0
1079616	34.0	28.5	0.0
1079616	34.0	28.75	0.0
1079616	34.0	29.0	0.0
1079616	34.0	29.25	0.0
1079616	34.0	29.5	0.0
1079616	34.0	29.75	0.0
1079616	34.0	30.0	0.0
1079616	34.0	30.25	0.0
1079616	34.0	30.5	0.0
1079616	34.0	30.75	0.0
1079616	34.0	31.0	0.0
1079616	34.0	31.25	0.0
1079616	34.0	31.5	0.0
1079616	34.0	31.75	0.0
1079616	34.0	32.0	0.0
1079616	34.0	32.25	0.0
1079616	34.0	32.5	0.0
1079616	34.0	32.75	0.0
1079616	34.0	33.0	0.0
1079616	34.0	33.25	0.0
1079616	34.0	33.5	0.0
1079616	34.0	33.75	0.0
1079616	34.0	34.0	0.0
1079616	34.0	34.25	0.0
1079616	34.0	34.5	0.0
1079616	34.0	34.75	0.0
1079616	34.0	35.0	0.0
1079616	33.75	26.0	0.0
1079616	33.75	26.25	0.0
1079616	33.75	26.5	0.0
1079616	33.75	26.75	0.0
1079616	33.75	27.0	0.0
1079616	33.75	27.25	0.0
1079616	33.75	27.5	0.0
1079616	33.75	27.75	0.0
1079616	33.75	28.0	0.0
1079616	33.75	28.25	0.0
1079616	33.75	28.5	0.0
1079616	33.75	28.75	0.0
1079616	33.75	29.0	0.0
1079616	33.75	29.25	0.0
1079616	33.75	29.5	0.0
1079616	33.75	29.75	0.0
1079616	33.75	30.0	0.0
1079616	33.75	30.25	0.0
1079616	33.75	30.5	0.0
1079616	33.75	30.75	0.0
1079616	33.75	31.0	0.0
1079616	33.75	31.25	0.0
1079616	33.75	31.5	0.0
1079616	33.75	31.75	0.0
1079616	33.75	32.0	0.0
1079616	33.75	32.25	0.0
1079616	33.75	32.5	0.0
1079616	33.75	32.75	0.0
1079616	33.75	33.0	0.0
1079616	33.75	33.25	0.0
1079616	33.75	33.5	0.0
1079616	33.75	33.75	0.0
1079616	33.75	34.0	0.0
1079616	33.75	34.25	0.0
1079616	33.75	34.5	0.0
1079616	33.75	34.75	0.0
1079616	33.75	35.0	0.0
1079616	33.5	26.0	0.0
1079616	33.5	26.25	0.0
1079616	33.5	26.5	0.0
1079616	33.5	26.75	0.0
1079616	33.5	27.0	0.0
1079616	33.5	27.25	0.0
1079616	33.5	27.5	0.0
1079616	33.5	27.75	0.0
1079616	33.5	28.0	0.0
1079616	33.5	28.25	0.0
1079616	33.5	28.5	0.0
1079616	33.5	28.75	0.0
1079616	33.5	29.0	0.0
1079616	33.5	29.25	0.0
1079616	33.5	29.5	0.0
1079616	33.5	29.75	0.0
1079616	33.5	30.0	0.0
1079616	33.5	30.25	0.0
1079616	33.5	30.5	0.0
1079616	33.5	30.75	0.0
1079616	33.5	31.0	0.0
1079616	33.5	31.25	0.0
1079616	33.5	31.5	0.0
1079616	33.5	31.75	0.0
1079616	33.5	32.0	0.0
1079616	33.5	32.25	0.0
1079616	33.5	32.5	0.0
1079616	33.5	32.75	0.0
1079616	33.5	33.0	0.0
1079616	33.5	33.25	0.0
1079616	33.5	33.5	0.0
1079616	33.5	33.75	0.0
1079616	33.5	34.0	0.0
1079616	33.5	34.25	0.0
1079616	33.5	34.5	0.0
1079616	33.5	34.75	0.0
1079616	33.5	35.0	0.12247264736850139
1079616	33.25	26.0	0.0
1079616	33.25	26.25	0.0
1079616	33.25	26.5	0.0
1079616	33.25	26.75	0.0
1079616	33.25	27.0	0.0
1079616	33.25	27.25	0.0
1079616	33.25	27.5	0.0
1079616	33.25	27.75	0.0
1079616	33.25	28.0	0.0
1079616	33.25	28.25	0.0
1079616	33.25	28.5	0.0
1079616	33.25	28.75	0.0
1079616	33.25	29.0	0.0
1079616	33.25	29.25	0.0
1079616	33.25	29.5	0.0
1079616	33.25	29.75	0.0
1079616	33.25	30.0	0.0
1079616	33.25	30.25	0.0
1079616	33.25	30.5	0.0
1079616	33.25	30.75	0.0
1079616	33.25	31.0	0.0
1079616	33.25	31.25	0.0
1079616	33.25	31.5	0.0
1079616	33.25	31.75	0.0
1079616	33.25	32.0	0.0
1079616	33.25	32.25	0.0
1079616	33.25	32.5	0.0
1079616	33.25	32.75	0.0
1079616	33.25	33.0	0.0
1079616	33.25	33.25	0.0
1079616	33.25	33.5	0.0
1079616	33.25	33.75	0.0
1079616	33.25	34.0	0.0
1079616	33.25	34.25	0.0
1079616	33.25	34.5	0.0
1079616	33.25	34.75	2.2889231379608077E-4
1079616	33.25	35.0	0.15264065432682772
1079616	33.0	26.0	0.0
1079616	33.0	26.25	0.0
1079616	33.0	26.5	0.0
1079616	33.0	26.75	0.0
1079616	33.0	27.0	0.0
1079616	33.0	27.25	0.0
1079616	33.0	27.5	0.0
1079616	33.0	27.75	0.0
1079616	33.0	28.0	0.0
1079616	33.0	28.25	0.0
1079616	33.0	28.5	0.0
1079616	33.0	28.75	0.0
