,latitude,longitude,Wind_Speed,Land_Sea_Mask
113,35.25,26.25,7.017913618363249,0.1777119924312941
114,35.25,26.5,7.26372671449659,0.075992248180306
115,35.25,26.75,7.298169792077733,0.0066531365876734
116,35.25,27.0,7.416121086058437,0.0247508888651519
117,35.25,27.25,7.332369168638253,0.0066531365876734
118,35.25,27.5,7.190535174636663,0.0
119,35.25,27.75,7.022543937755053,0.0
120,35.25,28.0,6.7915966038796105,0.0
121,35.25,28.25,6.613613625152529,0.0
122,35.25,28.5,6.463168861755652,0.0
123,35.25,28.75,6.333113750417423,0.0
124,35.25,29.0,6.212238044189264,0.0
125,35.25,29.25,6.134334951263991,0.0
126,35.25,29.5,6.09063123489924,0.0
127,35.25,29.75,6.020120406266146,0.0
128,35.25,30.0,5.8672386326630575,0.0
129,35.25,30.25,5.723942432537739,0.0
130,35.25,30.5,5.680969819234852,0.0
131,35.25,30.75,5.702253041702444,0.0
132,35.25,31.0,5.733934174383212,0.0
133,35.25,31.25,5.741732607043093,0.0
134,35.25,31.5,5.749612273376515,0.0
135,35.25,31.75,5.703958948846793,0.0
136,35.25,32.0,5.573578902814403,0.0
137,35.25,32.25,5.519314808889396,0.00019837333862327
138,35.25,32.5,4.876269049143352,0.1314147070941357
139,35.25,32.75,3.9766061146830896,0.3448033815024491
140,35.25,33.0,2.880195222907906,0.7296781774068026
141,35.25,33.25,2.583042445097013,0.8254619809866784
142,35.25,33.5,2.5210611521856645,0.9013321532662932
143,35.25,33.75,3.086528753700598,0.7865808066165139
144,35.25,34.0,4.5440233243629935,0.3584453634046969
145,35.25,34.25,5.132398821816328,0.0876657561839073
146,35.25,34.5,5.363102454671149,0.0
147,35.25,34.75,5.41631051084013,0.0
148,35.25,35.0,5.451972093524379,0.0
149,35.0,26.0,7.061129932686757,0.3160239879144858
150,35.0,26.25,7.351377848246714,0.1310942578548212
151,35.0,26.5,7.394594162570223,0.0353257137625318
152,35.0,26.75,7.350159343143607,0.0010986831062212
153,35.0,27.0,7.299144596160217,0.0011139425938077
154,35.0,27.25,7.220022998131839,0.0010986831062212
155,35.0,27.5,7.153898787869929,0.0
156,35.0,27.75,7.085012632707644,0.0
157,35.0,28.0,6.970798087709799,0.0
158,35.0,28.25,6.816941510024225,0.0
159,35.0,28.5,6.653905527228582,0.0
160,35.0,28.75,6.499074145460522,0.0
